qid,question,answer_id,video_id,a0,a1,a2,a3,start,end
2916,How does the woman's mood change throughout the video?,1,UUukBV82P9A,The woman is excited about the future of glasses and cameras.,"It doesn't, her mood stays the same as she remains professional",It changes when she gets sad at 00:27,The woman is worried about the future of the city and the economy.,0,58
2917,What does the woman's tone of voice say about her purpose?,2,UUukBV82P9A,She's attempting to be humorous.,She is being condescending.,She is trying to teach.,She is speaking in a monotone voice.,0,58
2918,What is the woman trying to do?,1,UUukBV82P9A,She is trying to explain the concept of achieved and ascribed statuses.,She is trying to tell us something.,She's trying to persuade people to only use certain statuses.,She is discussing the history of glasses and cameras.,0,58
2919,Does the woman seem confident about the interview?,2,U_JrsRlieNQ,The woman seems nervous and unsure during the interview.,The woman is discussing the impact of climate change on the medical community.,She knows a lot of information about the topic.,The woman is prepared for her interview.,0,58
2920,How does the woman feel about the condition of the US?,0,U_JrsRlieNQ,She thinks the US is unfair.,The woman thinks the US is improving.,The woman thinks the US is doing great.,"She believes that the US is where it should be, and racism is not a big issue",0,58
2921,What does the woman feel?,2,U_JrsRlieNQ,She is very happy because she just won the lottery.,The woman is distracted by something else.,She and people in her generation have been deeply affected by the issue.,The woman is pleased with the outcome.,0,58
2922,Why does the woman speak without strong gestures or emotion?,3,U_JrsRlieNQ,The woman is shy and uncomfortable speaking in front of the camera.,The woman is bored and uninterested in the topic.,"She hates people who use gestures, so she doesn't either.",She wants to appear serious.,0,58
2923,Why is the topic so important to the woman?,0,U_JrsRlieNQ,She wants people to recognize and fix the issue.,The woman is discussing the topic because she wants to sell her book.,The woman is only talking about this topic because she wants attention.,She was paid to discuss the issue.,0,58
2924,Are the woman's arguments for Scotland convincing?,2,UwPd_D3y3Pk,"No, she names a lot of things but none of them are particularly attractive","Yes, the woman does not stumble on her words but also is not particularly engaging in presenting convincing arguments for Scotland.","Yes, there are a variety of positive things that she names",The woman does not seem good at presenting convincing arguments for Scotland.,0,58
2925,Does the man appear comfortable in social situations?,1,UwPd_D3y3Pk,No he appears comfortable and relaxed in such situations.,"Yes, he is engaged and not exerting nervous energy.",He is fidgeting with his tie because he is nervous.,He is worried about the weather in Scotland.,0,58
2926,How does the man feel about not being able to ask his question?,3,UwPd_D3y3Pk,The man is disappointed that he cannot ask his question.,He wants to know the answer to his question and the women are not providing it.,is secretly angry because she was rude and did not let him ask.,He does not mind because it was not important.,0,58
2927,How does the woman feel about the topic at hand at 0:15?,1,UwPd_D3y3Pk,She is confused about the topic being discussed.,She is passionate and willing to flant,She is annoyed by the man's lack of knowledge about Scottish culture.,She is interested in the topic as she is talking about food she likes.,0,58
2928,How does the woman feel in social situations?,3,UwPd_D3y3Pk,The woman is a professional dancer.,The woman is very confident in social situations.,her nervous jittery posture.,The woman appears slightly nervous in social situations like this.,0,58
2929,Is the man disinterested in the conversation?,2,UwPd_D3y3Pk,instead of answering the question.,"Yes, he looks bored.","No, he is engaged and gives his opinions.","No, he is actively trying to change the subject.",0,58
2930,What does the lady think about Scotland?,0,UwPd_D3y3Pk,She likes it a lot,The lady is not interested in Scotland.,The lady thinks Scotland is overrated.,it is a great place.,0,58
2931,"What does the woman mean when she says ""that's where we went wrong""?",3,UwPd_D3y3Pk,The woman is referring to the man's Scottish accent.,She is being serious and thinks that they made a mistake in doing something,The woman is speaking sarcastically.,She is merely playing along with something that the man said,0,58
2932,What is the tone of the conversation between the two?,1,UwPd_D3y3Pk,One of friendly intent with disagreement and arguing,The tone of the conversation is not hostile.,"Yes, they have a strong opinion about the conversation.",He is bored and wants to change the topic.,0,58
2933,What's the woman's impression on hagis?,1,UwPd_D3y3Pk,She's not as fond of it as others due to how spicy it is.,She thinks it's a wonderful food because of how tasty it is.,The woman has never heard of haggis before.,She finds haggis to be too spicy.,0,58
2934,Why did the man on the right try to convince the woman on the left to come to America?,1,UwPd_D3y3Pk,The man wants to take the woman on a date.,He wanted to show how similar it was to Scotland.,The man wants to teach the woman how to play baseball.,He wanted to exploit its resources for his own benefit.,0,58
2935,Why does the audience laugh at 0:38?,1,UwPd_D3y3Pk,The audience laughs because they are reminded of a funny joke.,The audience laughs because the man says something funny.,the man says something inappropriate and they're unsure how to react,The audience laughed because they found it funny.,0,58
